Time,Cluster1_Intensity,Cluster1_NormalForce,Cluster1_ShearForce_x,Cluster1_ShearForce_y,Cluster2_Intensity,Cluster2_NormalForce,Cluster2_ShearForce_x,Cluster2_ShearForce_y,shear1_forcex,shear1_forcey,shear2_forcex,shear2_forcey
22.7,37150,0.97923,-0.370160981,0.510644347,24533,1.04890372,-0.098248915,0.897853504,-0.473587857,0.183743965,-0.552480773,0.32287793
22.8,34888,0.9652056,0.054683248,0.648901495,28944,1.04740656,-0.449074041,-0.348301995,-0.315106525,0.323291224,-0.520832973,0.117462212
22.9,34546,0.9630852,0.464671998,-0.753611907,41012,1.07955928,0.479629758,-0.735573189,-0.081172968,0.000220285,-0.216481538,-0.142040256
23.1,33711,0.9579082,0,0,42894,1.07972716,0,0,-0.056821078,0.000154199,-0.15090168,-0.099011276
23.2,32005,0.947331,-0.10947379,0.672288235,52624,1.09678316,0,0,-0.072616891,0.20179441,-0.105322044,-0.069105062
23.3,35048,0.9661976,-0.304120243,-0.706457286,51535,1.112557,-0.314027152,-0.932303127,-0.142067897,-0.070681099,-0.168232247,-0.329299772
23.5,35760,0.970612,0.571966436,-0.344423435,52066,1.11847944,0.503807203,-0.628904399,0.072142403,-0.1528038,0.034051838,-0.419480858
23.6,37475,0.981245,0.097297962,-0.719251924,51779,1.12829736,0.254997708,-0.687507088,0.079689071,-0.322738237,0.100490154,-0.500076217
23.8,41297,1.0049414,0.764405636,-0.428040989,47923,1.14104272,0.775652802,-0.599230936,0.28510404,-0.354329063,0.30336932,-0.529871151
23.9,41918,1.0087916,0,-0.855830476,45666,1.13848304,0,0,0.199572828,-0.504779487,0.212254663,-0.3707284
24,44520,1.024924,0.126605375,-0.727084952,44844,1.15228096,0,-0.891617223,0.177682592,-0.571471126,0.148527415,-0.527119836
24.2,47300,1.04216,0.082797591,-1.068428351,42209,1.16203356,0.18381119,-1.185958937,0.149217092,-0.720558294,0.159118463,-0.724882025
24.3,51866,1.0704692,0.94685566,-0.276634488,41303,1.18776972,1.113928304,-0.197710022,0.388508662,-0.587381152,0.445673453,-0.566668566
24.5,53214,1.0788268,0.972583061,-0.750328634,42437,1.19934788,1.021605463,-0.855390897,0.563730982,-0.636265397,0.618500357,-0.653308977
24.6,56713,1.1005206,0.225426682,-0.819646942,38874,1.21092276,0,0,0.462239692,-0.69127986,0.432914695,-0.457278728
24.7,60581,1.1245022,0.865456742,0.320440094,33522,1.21970468,0.961174039,0.535779618,0.583204807,-0.387763874,0.591413754,-0.159321266
24.9,62761,1.1380182,0.622490216,0.283952904,36516,1.24172364,0.679216569,0.309828993,0.59499043,-0.186248841,0.617757071,-0.018562975
25,63714,1.1439268,0.120007968,-0.904128385,34556,1.24206584,0.275056059,-0.898594802,0.452495691,-0.401612704,0.514940011,-0.282589873
25.1,68485,1.173507,0.941389821,0.544967077,32396,1.26551164,0,0,0.59916393,-0.11763877,0.360450902,-0.197809011
25.3,70374,1.1852188,0.442247309,-1.152012282,32259,1.27683436,0.294489086,-1.268159412,0.552088944,-0.427950823,0.34066172,-0.518924471
25.4,75669,1.2180478,-0.428019286,-0.698792525,29769,1.30259176,-0.531913072,-0.531913072,0.258056475,-0.509203334,0.078883382,-0.522821139
25.6,82544,1.2606728,0.853881315,0.223066957,29238,1.34370872,0.663700874,0.469321974,0.436803927,-0.289522247,0.254331398,-0.225173509
25.7,86333,1.2841646,0,-0.836816752,27810,1.363145,0,0,0.305762749,-0.453710598,0.178031136,-0.15762071
25.9,117970,1.603214565,0.768104489,-2.82379892,,,,,0.444465271,-1.164737095,0.178031136,-0.15762071
26,88869,1.2998878,1.255025006,-2.183416688,,,,,0.687633191,-1.470340973,0.178031136,-0.15762071
26.2,134327,1.699365079,-1.628575515,-1.054382373,,,,,-0.007229421,-1.345553393,0.178031136,-0.15762071
26.3,82136,1.2581432,1.309812822,-0.154011302,,,,,0.387883252,-0.988090766,0.178031136,-0.15762071
26.5,79585,1.242327,-2.220789508,0.041636568,61431,1.41679104,-2.492895349,0.978625439,-0.394718576,-0.679172565,-1.533851965,0.570636167
